"","PLOT_ID","LATITUDE","LONGITUDE","MAT_C","MAP","ELEVATION","AG_PROD_TREE_TOTAL_AS_CARBON","basal.weighted.CN"
"1",1,45.1024,-123.8816,10.4,2489,227,874,36.31
"2",2,45.0974,-123.8972,10.29,2572,320,726,40.9688118811881
"3",3,45.1122,-123.8841,10.32,2562,138,710,39.7213333333333
"4",6,45.0894,-123.8816,10.16,2665,344,828,36.4583888888889
"6",9,45.0699,-123.8949,9.95,2827,241,616,36.601
"12",15,44.2588,-122.2041,9.22,2152,784,282,43.5001181818182
"14",17,44.2347,-122.1766,9.22,2152,731,328,46.6906666666667
"16",19,44.2705,-122.2173,9.56,2187,742,457,46.9728821138211
"17",20,44.2699,-122.2265,9.56,2187,896,557,45.3805
"20",23,44.2334,-122.1731,9.22,2152,772,293,49.3783333333333
"21",24,44.2587,-122.1818,9.22,2152,853,259,50.1942760942761
"22",25,44.4371,-121.5679,7.9,482,1188,108,49.6220512820513
"23",26,44.4508,-121.6908,7.84,521,941,65,45.2634082397004
"24",27,44.4327,-121.6104,7.68,542,1138,62,44.68
"25",28,44.4277,-121.5852,7.9,482,1129,237,46.38
"26",29,44.4373,-121.587,7.8,498,1177,197,49.8
"27",30,44.4513,-121.5575,7.16,600,1254,236,54.8566666666667
"28",31,44.434,-121.6701,7.84,521,925,320,49
"29",32,44.4526,-121.6691,7.84,521,920,168,43.7776625
"31",34,44.4982,-121.6249,7.95,581,914,242,42.52
"32",35,44.5005,-121.6237,7.32,683,907,102,44.16
"34",37,45.8708,-122.097,6.66,2607,1228,85,66.04
"35",38,45.849,-122.0274,7.5,2507,601,667,52.4
"36",39,45.8596,-122.0736,6.66,2607,957,457,54.81988
"37",40,45.8141,-122.0101,8.61,2393,632,534,60.0933168316832
"38",41,45.8344,-122.0899,7.43,2698,1024,458,57.0716390243902
"39",42,45.8464,-122.1093,7.68,2839,1200,688,54.316
"40",43,44.7824,-121.8975,7.36,1951,1426,98,50.04
"41",44,44.8006,-121.9901,8.07,1856,889,379,70.0333333333333
"42",45,44.763,-121.8859,7.24,1950,1476,435,52.7791475
"43",46,44.7894,-121.9945,8.18,1850,831,441,53.2226666666667
"44",47,44.7723,-121.9007,7.36,1951,1303,350,64.944
"45",48,44.7855,-121.8935,7.35,1938,1386,NA,66.209900990099
"46",49,44.7782,-122.1476,8,2534,1321,39,44.9370818181818
"47",50,44.8094,-122.2324,8.51,2484,1032,NA,52.0535833333333
"48",52,44.8285,-122.2429,8.51,2484,773,NA,57.3929354471545
"52",56,44.6877,-121.8699,6.64,2102,1163,27,52.1
"53",57,44.7004,-121.8761,6.64,2102,1094,802,41.9
"54",59,44.6882,-121.865,6.58,2117,1192,177,68.3729372937294
"55",60,44.6958,-121.8698,6.64,2102,1076,238,71.8566666666667
"58",63,44.6358,-122.4955,9.2,2358,854,603,51.629
"60",65,44.7301,-122.3909,9.91,1938,470,NA,44.0436666666667
"61",66,44.7019,-122.5,9.54,2128,705,522,44.7186666666667
"62",67,44.399,-123.7799,10.95,2236,473,501,40.96
"63",68,44.4465,-123.8595,10.42,2404,566,509,42.1976666666667
"64",69,44.4213,-123.7759,11.04,2342,338,801,43.8466666666667
"65",70,44.4758,-123.8605,10.59,2286,640,531,49.4143097560976
"66",71,44.3983,-123.7938,10.67,2263,362,511,42.54
"68",74,43.7362,-122.9288,11.08,1231,476,796,47.8
"69",75,43.6915,-122.9297,10.89,1355,586,707,49.6310333333333
"70",76,43.6943,-122.8992,10.18,1460,824,540,47.4475
"71",77,43.7037,-122.9292,10.86,1358,868,637,53.6
"72",78,43.7062,-122.9356,10.93,1348,716,760,48.4935
"74",80,43.5015,-122.2083,7.18,1691,1356,87,50.7
"77",83,43.4263,-122.2342,7.87,1636,1366,311,56.8508545454546
"78",84,43.4949,-122.1896,4.19,1876,1460,456,51.5529702970297
"79",85,42.5853,-122.4062,9.23,1021,1050,194,51.5772724719101
"80",86,42.586,-122.4478,9.46,984,952,NA,43.4897272727273
"81",87,42.5601,-122.4966,9.64,980,856,337,52.1403338951311
"82",88,42.6231,-122.4367,9.16,1068,1046,596,45.3194
"83",89,42.5791,-122.4414,9.48,975,963,NA,45.3531648403604
"84",90,42.6025,-122.4755,9.39,1043,997,415,48.36305
"85",91,42.4875,-123.2612,11.51,829,737,197,55.58505
"86",92,42.4778,-123.2612,11.57,821,951,579,50.7625336522416
"88",94,42.4789,-123.3002,11.89,803,811,565,45.2010224719101
"89",95,42.4723,-123.2642,11.57,821,1026,442,44.6514821428571
"90",96,42.4725,-123.2665,11.57,821,937,498,50.3706857142857
"91",97,44.446,-121.712,7.02,864,975,465,63.6723468164794
"92",98,44.257,-121.485,8.02,349,983,128,62.565
"94",201,44.2732,-119.7519,6.89,490,1449,176,37.4878
"95",202,44.2474,-119.7074,7.2,429,1428,241,40.7332333333333
"96",203,44.2609,-119.6365,7.69,414,1400,54,52.59
"98",205,44.6769,-118.8223,7.42,469,1382,202,41.6820333333333
"99",206,44.6609,-118.8621,7.33,501,1415,157,44.402
"100",207,44.6513,-118.8808,7.02,575,1452,379,42.3344
"102",210,44.2093,-118.6343,4.78,627,1602,230,44.53926
"103",211,44.2223,-118.6429,4.78,627,1653,229,53.4411833333333
"105",213,44.1873,-118.7127,5.02,647,1650,233,51.4212
"106",214,44.4011,-120.3995,6.41,510,1298,324,37.84371
"108",216,45.8561,-117.7896,7.27,771,1538,155,38.8067666666667
"109",217,45.9477,-117.6706,8.04,640,1324,337,56.4096
"110",218,45.8725,-117.777,6.38,957,1508,339,48.39446
"111",219,45.868,-117.8059,6.39,945,1571,119,48.5539269662921
"112",220,45.8776,-117.7661,6.38,957,1498,160,52.31745
"113",221,45.008,-117.1439,5,1147,1677,89,50.77808
"114",222,45.0084,-117.1406,5,1147,1683,227,52.47575
"115",223,44.9945,-117.1367,5.2,1115,1502,431,47.056
