"","PLOT_ID","X","LATITUDE","LONGITUDE","MAT_C","MAP","ELEVATION","AG_PROD_TREE_TOTAL_AS_CARBON","basal.weighted.CN","C.storage","N.storage","pH","sand","silt","clay","test"
"1",1,1,45.1024,-123.8816,10.4,2489,227,874,36.31,10020,630,4.73,47,42,11,100
"2",2,2,45.0974,-123.8972,10.29,2572,320,726,40.9688118811881,12780,590,4.33,58,30,12,100
"3",3,3,45.1122,-123.8841,10.32,2562,138,710,39.7213333333333,8800,460,4.48,43,35,22,100
"4",6,4,45.0894,-123.8816,10.16,2665,344,828,36.4583888888889,9620,420,4.5,49,34,17,100
"5",9,6,45.0699,-123.8949,9.95,2827,241,616,36.601,12310,650,4.53,54,33,13,100
"6",15,12,44.2588,-122.2041,9.22,2152,784,282,43.5001181818182,7110,180,5.57,43,39,18,100
"7",17,14,44.2347,-122.1766,9.22,2152,731,328,46.6906666666667,6280,170,5.73,41,44,15,100
"8",19,16,44.2705,-122.2173,9.56,2187,742,457,46.9728821138211,5440,110,5.13,63,27,10,100
"9",20,17,44.2699,-122.2265,9.56,2187,896,557,45.3805,3840,120,5.2,68,21,11,100
"10",23,20,44.2334,-122.1731,9.22,2152,772,293,49.3783333333333,6840,230,5.6,36,40,24,100
"11",24,21,44.2587,-122.1818,9.22,2152,853,259,50.1942760942761,4780,170,5.61,40,43,17,100
"12",25,22,44.4371,-121.5679,7.9,482,1188,108,49.6220512820513,3700,130,6.54,70,27,3,100
"13",26,23,44.4508,-121.6908,7.84,521,941,65,45.2634082397004,5090,150,6.53,77,20,3,100
"14",27,24,44.4327,-121.6104,7.68,542,1138,62,44.68,3370,100,6.83,76,20,4,100
"15",28,25,44.4277,-121.5852,7.9,482,1129,237,46.38,1530,80,6.73,76,21,3,100
"16",29,26,44.4373,-121.587,7.8,498,1177,197,49.8,2610,70,6.63,73,18,9,100
"17",30,27,44.4513,-121.5575,7.16,600,1254,236,54.8566666666667,4230,140,6.6,69,24,7,100
"18",31,28,44.434,-121.6701,7.84,521,925,320,49,3730,100,6.53,69,26,5,100
"19",32,29,44.4526,-121.6691,7.84,521,920,168,43.7776625,3510,90,6.43,76,20,4,100
"20",34,31,44.4982,-121.6249,7.95,581,914,242,42.52,2590,80,6.76,66,25,9,100
"21",35,32,44.5005,-121.6237,7.32,683,907,102,44.16,2060,70,6.87,68,28,4,100
"22",37,34,45.8708,-122.097,6.66,2607,1228,85,66.04,15890,530,5.07,63,31,6,100
"23",38,35,45.849,-122.0274,7.5,2507,601,667,52.4,6100,170,5.27,68,23,9,100
"24",39,36,45.8596,-122.0736,6.66,2607,957,457,54.81988,5360,120,5.03,58,33,9,100
"25",40,37,45.8141,-122.0101,8.61,2393,632,534,60.0933168316832,9940,160,4.67,61,32,7,100
"26",41,38,45.8344,-122.0899,7.43,2698,1024,458,57.0716390243902,6500,190,5,65,28,7,100
"27",42,39,45.8464,-122.1093,7.68,2839,1200,688,54.316,8870,410,4.6,66,28,6,100
"28",43,40,44.7824,-121.8975,7.36,1951,1426,98,50.04,10570,280,5.03,46,46,8,100
"29",44,41,44.8006,-121.9901,8.07,1856,889,379,70.0333333333333,3130,100,5.7,41,35,24,100
"30",45,42,44.763,-121.8859,7.24,1950,1476,435,52.7791475,6360,120,5.1,55,35,10,100
